15.6, -16.3, -3.2, -0.639, 0.357, -1.149, 
15.6, -16.3, -3.2, -0.639, 0.357, -1.149, 
15.6, -16.3, -3.2, -0.639, 0.357, -1.149, 
15.6, -16.3, -3.2, -0.639, 0.357, -1.149, 
15.6, -16.3, -3.2, -0.639, 0.357, -1.149, 
15.8, -16.3, -3.2, -0.639, 0.357, -1.146, 
15.8, -16.3, -3.2, -0.639, 0.357, -1.146, 
15.8, -16.3, -3.2, -0.639, 0.357, -1.146, 
15.8, -16.3, -3.2, -0.639, 0.357, -1.146, 
15.8, -16.3, -3.2, -0.639, 0.357, -1.146, 
15.8, -16.3, -3.2, -0.639, 0.357, -1.146, 
15.8, -16.3, -3.2, -0.639, 0.357, -1.146, 
15.8, -16.1, -3.1, -0.642, 0.357, -1.149, 
15.8, -16.1, -3.1, -0.642, 0.357, -1.149, 
15.8, -16.1, -3.1, -0.642, 0.357, -1.149, 
15.6, -16.2, -3.1, -0.642, 0.357, -1.152, 
15.6, -16.2, -3.1, -0.642, 0.357, -1.152, 
15.6, -16.2, -3.1, -0.642, 0.357, -1.152, 
15.6, -16.2, -3.1, -0.642, 0.357, -1.152, 
15.6, -16.2, -3.2, -0.645, 0.357, -1.152, 
15.6, -16.2, -3.2, -0.645, 0.357, -1.152, 
15.6, -16.2, -3.2, -0.645, 0.357, -1.152, 
15.6, -16.2, -3.2, -0.645, 0.357, -1.152, 
15.6, -16.2, -3.1, -0.645, 0.36, -1.152, 
15.6, -16.2, -3.1, -0.645, 0.36, -1.152, 
15.6, -16.2, -3.1, -0.645, 0.36, -1.152, 
15.6, -16.2, -3.1, -0.645, 0.36, -1.152, 
15.6, -16.2, -3.1, -0.645, 0.36, -1.152, 
15.6, -16.2, -3.1, -0.645, 0.36, -1.152, 
15.6, -16.2, -3.1, -0.645, 0.36, -1.152, 
15.6, -16.2, -3.1, -0.645, 0.36, -1.152, 
15.6, -16.2, -3.1, -0.645, 0.36, -1.152, 
15.6, -16.2, -3.1, -0.645, 0.36, -1.152, 
15.6, -16.2, -3.1, -0.645, 0.36, -1.152, 
15.6, -16.2, -3.2, -0.645, 0.357, -1.152, 
15.6, -16.2, -3.2, -0.645, 0.357, -1.152, 
