,No.1 R_Z,No.2 R_Z,No.3 R_Z,No.4 R_Z,No.5 R_Z,No.6 R_Z,No.7 R_Z,No.8 R_Z,No.9 R_Z,No.10 R_Z
60, -24.6, -24.5, -24.5, -24.6, -24.6, -24.5, -24.7, -24.7, -24.8, -24.8
61, -24.6, -24.5, -24.5, -24.6, -24.6, -24.6, -24.7, -24.7, -24.8, -24.8
62, -24.6, -24.5, -24.5, -24.6, -24.6, -24.6, -24.7, -24.7, -24.8, -24.8
63, -24.6, -24.5, -24.5, -24.6, -24.5, -24.6, -24.8, -24.7, -24.8, -24.8
64, -24.6, -24.5, -24.5, -24.6, -24.5, -24.6, -24.8, -24.7, -24.8, -24.8
65, -24.6, -24.5, -24.5, -24.6, -24.5, -24.6, -24.8, -24.7, -24.8, -24.8
66, -24.6, -24.5, -24.5, -24.6, -24.5, -24.6, -24.8, -24.7, -24.8, -24.8
67, -24.6, -24.5, -24.5, -24.6, -24.5, -24.6, -24.8, -24.7, -24.8, -24.8
68, -24.6, -24.5, -24.6, -24.6, -24.5, -24.6, -24.8, -24.7, -24.8, -24.8
69, -24.6, -24.5, -24.6, -24.6, -24.5, -24.6, -24.8, -24.7, -24.8, -24.8
70, -24.6, -24.5, -24.6, -24.6, -24.5, -24.6, -24.8, -24.7, -24.8, -24.7
71, -24.6, -24.5, -24.6, -24.6, -24.5, -24.6, -24.8, -24.7, -24.8, -24.7
72, -24.6, -24.5, -24.6, -24.6, -24.5, -24.6, -24.8, -24.7, -24.8, -24.7
73, -24.6, -24.5, -24.6, -24.6, -24.5, -24.6, -24.8, -24.7, -24.8, -24.7
74, -24.6, -24.5, -24.6, -24.6, -24.5, -24.6, -24.8, -24.7, -24.8, -24.7
75, -24.6, -24.5, -24.6, -24.6, -24.5, -24.6, -24.7, -24.7, -24.7, -24.7
76, -24.6, -24.6, -24.6, -24.6, -24.4, -24.6, -24.7, -24.7, -24.7, -24.7
77, -24.6, -24.6, -24.6, -24.6, -24.5, -24.6, -24.7, -24.7, -24.7, -24.7
78, -24.5, -24.6, -24.6, -24.6, -24.5, -24.6, -24.7, -24.7, -24.7, -24.7
79, -24.5, -24.6, -24.6, -24.6, -24.5, -24.6, -24.7, -24.7, -24.7, -24.7
80, -24.5, -24.6, -24.6, -24.6, -24.5, -24.6, -24.7, -24.7, -24.7, -24.7
81, -24.5, -24.6, -24.6, -24.6, -24.5, -24.6, -24.7, -24.7, -24.6, -24.7
82, -24.5, -24.6, -24.6, -24.6, -24.5, -24.6, -24.7, -24.7, -24.6, -24.7
83, -24.5, -24.6, -24.6, -24.6, -24.5, -24.7, -24.7, -24.7, -24.6, -24.7
84, -24.5, -24.6, -24.6, -24.6, -24.5, -24.7, -24.7, -24.7, -24.6, -24.7
85, -24.5, -24.6, -24.6, -24.6, -24.5, -24.7, -24.7, -24.7, -24.7, -24.7
86, -24.5, -24.6, -24.6, -24.6, -24.5, -24.7, -24.7, -24.7, -24.7, -24.7
87, -24.5, -24.6, -24.6, -24.5, -24.5, -24.7, -24.8, -24.7, -24.7, -24.7
88, -24.5, -24.6, -24.6, -24.5, -24.5, -24.7, -24.8, -24.7, -24.7, -24.7
89, -24.5, -24.6, -24.5, -24.5, -24.5, -24.7, -24.8, -24.7, -24.7, -24.7
90, -24.5, -24.6, -24.5, -24.5, -24.5, -24.7, -24.8, -24.7, -24.7, -24.7
