,Left_Z[N],Right_Z[N]
1, 8.0, -24.8
2, 8.0, -24.8
3, 8.0, -24.8
4, 8.0, -24.8
5, 8.0, -24.8
6, 8.0, -24.8
7, 8.0, -24.7
8, 8.0, -24.7
9, 8.0, -24.7
10, 8.0, -24.8
11, 8.0, -24.8
12, 8.0, -24.8
13, 8.0, -24.8
14, 8.0, -24.8
15, 8.0, -24.8
16, 8.0, -24.8
17, 8.0, -24.8
18, 8.0, -24.8
19, 8.0, -24.8
20, 8.0, -24.8
21, 8.0, -24.8
22, 8.0, -24.8
23, 8.0, -24.8
24, 8.0, -24.8
25, 8.0, -24.8
26, 8.0, -24.8
27, 8.0, -24.8
28, 8.0, -24.8
29, 8.0, -24.9
30, 7.9, -24.9
31, 7.9, -24.9
32, 7.9, -24.9
33, 8.0, -24.9
34, 8.0, -24.9
35, 8.0, -24.9
36, 8.0, -24.9
37, 8.0, -24.9
38, 8.0, -24.9
39, 8.0, -24.9
40, 8.0, -24.9
41, 8.0, -24.8
42, 8.0, -24.8
43, 8.0, -24.8
44, 8.0, -24.8
45, 8.0, -24.8
46, 8.0, -24.8
47, 8.0, -24.8
48, 8.0, -24.8
49, 8.0, -24.8
50, 8.0, -24.8
51, 8.0, -24.8
52, 8.0, -24.8
53, 8.0, -24.8
54, 8.0, -24.8
55, 8.0, -24.8
56, 8.0, -24.8
57, 8.0, -24.8
58, 8.0, -24.8
59, 8.0, -24.8
60, 8.0, -24.8
61, 8.0, -24.8
62, 8.0, -24.8
63, 8.0, -24.8
64, 8.0, -24.8
65, 8.0, -24.8
66, 8.0, -24.8
67, 8.0, -24.8
68, 8.0, -24.8
69, 8.0, -24.8
70, 8.0, -24.8
71, 8.0, -24.8
72, 8.0, -24.8
73, 8.0, -24.8
74, 8.0, -24.8
75, 8.0, -24.7
76, 8.0, -24.7
77, 8.0, -24.7
78, 8.0, -24.7
79, 8.0, -24.7
80, 8.0, -24.7
81, 8.0, -24.6
82, 8.0, -24.6
83, 8.0, -24.6
84, 8.0, -24.6
85, 8.0, -24.7
86, 8.0, -24.7
87, 8.0, -24.7
88, 8.0, -24.7
89, 8.0, -24.7
90, 8.0, -24.7
91, 8.0, -24.7
92, 8.0, -24.7
93, 8.0, -24.7
94, 8.0, -24.7
95, 8.0, -24.7
96, 8.0, -24.7
97, 8.0, -24.7
98, 8.0, -24.7
99, 8.0, -24.8
100, 8.0, -24.8
101, 8.0, -24.8
102, 8.0, -24.8
103, 8.0, -24.8
104, 8.0, -24.8
105, 8.0, -24.8
106, 8.0, -24.8
107, 8.0, -24.8
108, 8.0, -24.8
109, 8.0, -24.8
110, 8.0, -24.8
111, 8.0, -24.8
112, 8.0, -24.7
113, 8.0, -24.7
114, 8.0, -24.7
115, 7.9, -24.7
116, 7.9, -24.7
117, 7.9, -24.7
118, 7.9, -24.7
119, 7.9, -24.7
120, 7.9, -24.7
121, 7.9, -24.7
122, 7.9, -24.7
123, 7.9, -24.7
124, 7.9, -24.7
125, 7.9, -24.7
