7.7, 4.3, -13.7, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.7, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.7, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.8, 4.4, -13.6, 0.12, -0.954, -0.333, 
7.8, 4.4, -13.6, 0.12, -0.954, -0.333, 
7.8, 4.4, -13.6, 0.12, -0.954, -0.333, 
7.8, 4.4, -13.6, 0.12, -0.954, -0.333, 
7.8, 4.4, -13.6, 0.12, -0.954, -0.333, 
7.8, 4.4, -13.6, 0.12, -0.954, -0.333, 
7.8, 4.4, -13.6, 0.12, -0.954, -0.333, 
7.8, 4.4, -13.6, 0.12, -0.954, -0.333, 
7.8, 4.4, -13.6, 0.12, -0.954, -0.333, 
7.8, 4.4, -13.6, 0.12, -0.954, -0.333, 
7.8, 4.4, -13.6, 0.12, -0.954, -0.333, 
7.8, 4.4, -13.6, 0.12, -0.954, -0.333, 
7.8, 4.4, -13.7, 0.12, -0.957, -0.333, 
7.8, 4.4, -13.7, 0.12, -0.957, -0.333, 
7.8, 4.4, -13.8, 0.117, -0.957, -0.333, 
7.8, 4.4, -13.8, 0.117, -0.957, -0.333, 
7.8, 4.4, -13.8, 0.117, -0.957, -0.333, 
7.8, 4.4, -13.8, 0.117, -0.957, -0.333, 
7.8, 4.4, -13.8, 0.117, -0.957, -0.333, 
7.8, 4.4, -13.8, 0.117, -0.957, -0.333, 
7.8, 4.4, -13.8, 0.117, -0.957, -0.333, 
7.8, 4.4, -13.8, 0.117, -0.957, -0.333, 
7.8, 4.4, -13.8, 0.117, -0.957, -0.333, 
7.8, 4.4, -13.7, 0.114, -0.957, -0.333, 
7.8, 4.4, -13.7, 0.114, -0.957, -0.333, 
7.8, 4.4, -13.7, 0.114, -0.957, -0.333, 
7.8, 4.4, -13.7, 0.114, -0.957, -0.333, 
7.8, 4.4, -13.7, 0.114, -0.957, -0.333, 
7.8, 4.4, -13.7, 0.114, -0.957, -0.333, 
7.8, 4.4, -13.7, 0.114, -0.957, -0.333, 
7.8, 4.4, -13.6, 0.117, -0.96, -0.333, 
7.8, 4.4, -13.6, 0.117, -0.96, -0.333, 
7.8, 4.4, -13.5, 0.117, -0.957, -0.333, 
7.8, 4.4, -13.5, 0.117, -0.957, -0.333, 
7.8, 4.4, -13.5, 0.117, -0.957, -0.333, 
7.8, 4.4, -13.5, 0.117, -0.957, -0.333, 
7.8, 4.4, -13.6, 0.12, -0.954, -0.333, 
7.8, 4.4, -13.6, 0.12, -0.954, -0.333, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
7.7, 4.3, -13.6, 0.12, -0.954, -0.336, 
