,Left_Z[N],Right_Z[N]
1, 11.1, -23.6
2, 11.1, -23.6
3, 11.1, -23.5
4, 11.1, -23.5
5, 11.1, -23.5
6, 11.1, -23.5
7, 11.1, -23.5
8, 11.1, -23.5
9, 11.1, -23.5
10, 11.1, -23.5
11, 11.1, -23.5
12, 11.1, -23.5
13, 11.1, -23.5
14, 11.1, -23.5
15, 11.1, -23.5
16, 11.1, -23.5
17, 11.1, -23.5
18, 11.1, -23.5
19, 11.1, -23.5
20, 11.1, -23.5
21, 11.1, -23.5
22, 11.1, -23.5
23, 11.1, -23.5
24, 11.1, -23.5
25, 11.1, -23.5
26, 11.1, -23.5
27, 11.1, -23.5
28, 11.1, -23.5
29, 11.1, -23.5
30, 11.1, -23.5
31, 11.1, -23.5
32, 11.1, -23.5
33, 11.1, -23.5
34, 11.1, -23.5
35, 11.1, -23.5
36, 11.1, -23.5
37, 11.1, -23.5
38, 11.1, -23.5
39, 11.1, -23.5
40, 11.1, -23.5
41, 11.1, -23.5
42, 11.1, -23.5
43, 11.1, -23.5
44, 11.1, -23.5
45, 11.1, -23.5
46, 11.1, -23.5
47, 11.1, -23.5
48, 11.1, -23.5
49, 11.1, -23.5
50, 11.1, -23.5
51, 11.1, -23.5
52, 11.1, -23.5
53, 11.1, -23.5
54, 11.1, -23.5
55, 11.1, -23.5
56, 11.1, -23.5
57, 11.1, -23.5
58, 11.1, -23.5
59, 11.1, -23.5
60, 11.1, -23.5
61, 11.1, -23.5
62, 11.1, -23.5
63, 11.1, -23.5
64, 11.1, -23.5
65, 11.1, -23.5
66, 11.1, -23.5
67, 11.1, -23.5
68, 11.1, -23.5
69, 11.1, -23.5
70, 11.1, -23.5
71, 11.1, -23.5
72, 11.1, -23.5
73, 11.1, -23.5
74, 11.1, -23.5
75, 11.1, -23.5
76, 11.1, -23.5
77, 11.1, -23.5
78, 11.1, -23.5
79, 11.1, -23.5
80, 11.1, -23.5
81, 11.1, -23.5
82, 11.1, -23.5
83, 11.1, -23.5
84, 11.1, -23.5
85, 11.1, -23.5
86, 11.1, -23.5
87, 11.1, -23.5
88, 11.1, -23.5
89, 11.1, -23.5
90, 11.1, -23.5
91, 11.1, -23.5
92, 11.1, -23.5
93, 11.1, -23.5
94, 11.1, -23.5
95, 11.1, -23.5
96, 11.1, -23.6
97, 11.1, -23.6
98, 11.1, -23.6
99, 11.1, -23.6
100, 11.1, -23.6
101, 11.1, -23.6
102, 11.1, -23.6
103, 11.1, -23.6
104, 11.1, -23.6
105, 11.1, -23.6
106, 11.1, -23.6
107, 11.1, -23.6
108, 11.1, -23.6
109, 11.1, -23.5
110, 11.1, -23.5
111, 11.1, -23.5
112, 11.1, -23.5
113, 11.1, -23.5
114, 11.2, -23.5
115, 11.2, -23.5
116, 11.2, -23.5
117, 11.2, -23.5
118, 11.2, -23.5
119, 11.2, -23.5
120, 11.2, -23.5
121, 11.2, -23.5
122, 11.2, -23.5
123, 11.1, -23.5
124, 11.1, -23.5
125, 11.1, -23.5
126, 11.1, -23.5
127, 11.1, -23.5
128, 11.1, -23.5
129, 11.1, -23.4
