,Left_Z[N],Right_Z[N]
266, 10.2, -23.7
267, 10.2, -23.7
268, 10.2, -23.7
269, 10.2, -23.7
270, 10.2, -23.7
271, 10.2, -23.7
272, 10.2, -23.7
273, 10.2, -23.7
274, 10.2, -23.7
275, 10.2, -23.7
276, 10.2, -23.7
277, 10.2, -23.7
278, 10.2, -23.6
279, 10.2, -23.6
280, 10.2, -23.6
281, 10.2, -23.6
282, 10.2, -23.6
283, 10.2, -23.7
284, 10.2, -23.8
285, 10.2, -23.8
286, 10.2, -23.8
287, 10.2, -23.8
288, 10.2, -23.8
289, 10.2, -23.8
290, 10.2, -23.8
291, 10.2, -23.8
292, 10.3, -23.8
293, 10.4, -23.8
294, 10.4, -23.8
295, 10.4, -23.8
296, 10.4, -23.8
297, 10.4, -23.8
298, 10.4, -23.8
299, 10.4, -23.8
300, 10.4, -23.8
301, 10.4, -23.8
302, 10.4, -23.8
303, 10.4, -23.8
304, 10.4, -23.8
305, 10.4, -23.8
306, 10.4, -23.8
307, 10.4, -23.8
308, 10.4, -23.8
309, 10.4, -23.8
310, 10.4, -23.8
311, 10.4, -23.8
312, 10.4, -23.8
313, 10.4, -23.8
314, 10.4, -23.7
315, 10.4, -23.7
316, 10.4, -23.7
317, 10.3, -23.7
318, 10.3, -23.7
319, 10.3, -23.7
320, 10.3, -23.7
321, 10.3, -23.7
322, 10.3, -23.7
323, 10.3, -23.7
324, 10.3, -23.7
325, 10.3, -23.7
326, 10.3, -23.7
327, 10.3, -23.7
328, 10.3, -23.7
329, 10.3, -23.7
330, 10.3, -23.7
331, 10.3, -23.7
332, 10.3, -23.7
333, 10.3, -23.7
334, 10.3, -23.7
335, 10.3, -23.7
336, 10.3, -23.7
337, 10.3, -23.7
338, 10.2, -23.7
339, 10.2, -23.7
340, 10.2, -23.7
341, 10.2, -23.7
342, 10.2, -23.7
343, 10.2, -23.7
344, 10.2, -23.7
345, 10.2, -23.7
346, 10.2, -23.6
347, 10.2, -23.6
348, 10.2, -23.6
349, 10.3, -23.6
350, 10.3, -23.6
351, 10.3, -23.6
352, 10.3, -23.6
353, 10.3, -23.6
354, 10.3, -23.6
355, 10.3, -23.6
356, 10.3, -23.6
357, 10.3, -23.6
358, 10.3, -23.6
359, 10.3, -23.6
360, 10.2, -23.6
361, 10.2, -23.6
362, 10.2, -23.6
363, 10.3, -23.6
364, 10.3, -23.6
365, 10.3, -23.6
366, 10.3, -23.6
367, 10.3, -23.6
368, 10.3, -23.6
369, 10.3, -23.6
370, 10.3, -23.7
371, 10.3, -23.7
372, 10.3, -23.7
373, 10.3, -23.7
374, 10.3, -23.7
375, 10.3, -23.7
376, 10.3, -23.7
377, 10.3, -23.7
378, 10.3, -23.7
379, 10.3, -23.6
380, 10.3, -23.6
381, 10.3, -23.6
382, 10.4, -23.7
383, 10.4, -23.7
384, 10.4, -23.7
385, 10.3, -23.7
386, 10.3, -23.7
387, 10.3, -23.7
388, 10.3, -23.7
389, 10.3, -23.7
390, 10.3, -23.7
391, 10.3, -23.7
392, 10.3, -23.7
393, 10.3, -23.7
394, 10.3, -23.7
395, 10.3, -23.7
