,Left_Z[N],Right_Z[N]
1, 10.2, -23.2
2, 10.2, -23.6
3, 10.2, -23.6
4, 10.2, -23.6
5, 10.2, -23.6
6, 10.2, -23.6
7, 10.2, -23.6
8, 10.1, -23.6
9, 10.1, -23.6
10, 10.0, -23.6
11, 10.0, -23.6
12, 10.0, -23.6
13, 10.0, -23.6
14, 10.0, -23.6
15, 10.0, -23.6
16, 10.0, -23.6
17, 10.0, -23.6
18, 10.0, -23.6
19, 10.0, -23.6
20, 10.1, -23.6
21, 10.1, -23.6
22, 10.1, -23.6
23, 10.1, -23.6
24, 10.2, -23.6
25, 10.2, -23.6
26, 10.2, -23.6
27, 10.2, -23.6
28, 10.2, -23.6
29, 10.2, -23.6
30, 10.2, -23.6
31, 10.2, -23.8
32, 10.2, -23.8
33, 10.2, -23.8
34, 10.2, -23.8
35, 10.2, -23.8
36, 10.2, -23.8
37, 10.2, -23.8
38, 10.2, -23.8
39, 10.2, -23.8
40, 10.2, -23.8
41, 10.2, -23.8
42, 10.2, -23.8
43, 10.2, -23.8
44, 10.2, -23.8
45, 10.2, -23.8
46, 10.2, -23.8
47, 10.2, -23.8
48, 10.2, -23.8
49, 10.2, -23.8
50, 10.2, -23.8
51, 10.2, -23.8
52, 10.2, -23.8
53, 10.2, -23.7
54, 10.2, -23.7
55, 10.2, -23.7
56, 10.2, -23.7
57, 10.2, -23.7
58, 10.2, -23.7
59, 10.2, -23.7
60, 10.2, -23.7
61, 10.2, -23.7
62, 10.2, -23.7
63, 10.2, -23.7
64, 10.2, -23.7
65, 10.2, -23.7
66, 10.2, -23.7
67, 10.2, -23.7
68, 10.2, -23.7
69, 10.2, -23.7
70, 10.2, -23.7
71, 10.2, -23.7
72, 10.2, -23.7
73, 10.2, -23.8
74, 10.2, -23.8
75, 10.2, -23.8
76, 10.2, -23.8
77, 10.2, -23.8
78, 10.2, -23.8
79, 10.2, -23.8
80, 10.2, -23.7
81, 10.2, -23.7
82, 10.2, -23.7
83, 10.2, -23.7
84, 10.2, -23.7
85, 10.2, -23.7
86, 10.2, -23.7
87, 10.2, -23.7
88, 10.2, -23.7
89, 10.2, -23.7
90, 10.2, -23.7
91, 10.2, -23.7
92, 10.2, -23.7
93, 10.2, -23.7
94, 10.2, -23.7
95, 10.2, -23.7
96, 10.2, -23.7
97, 10.2, -23.7
98, 10.2, -23.7
99, 10.2, -23.7
100, 10.2, -23.7
101, 10.2, -23.7
102, 10.2, -23.7
103, 10.2, -23.7
104, 10.2, -23.7
105, 10.2, -23.7
106, 10.2, -23.7
107, 10.2, -23.7
108, 10.2, -23.6
109, 10.2, -23.6
110, 10.2, -23.6
111, 10.2, -23.6
112, 10.2, -23.6
113, 10.2, -23.6
114, 10.2, -23.6
115, 10.2, -23.6
116, 10.2, -23.7
117, 10.2, -23.7
118, 10.2, -23.7
119, 10.2, -23.7
120, 10.2, -23.7
121, 10.2, -23.7
122, 10.2, -23.7
123, 10.2, -23.7
124, 10.2, -23.7
125, 10.2, -23.7
126, 10.2, -23.7
127, 10.2, -23.7
