,Left_Z[N],Right_Z[N]
1, 18.9, -21.9
2, 19.0, -21.9
3, 19.0, -21.9
4, 19.0, -21.8
5, 19.0, -21.8
6, 19.0, -21.8
7, 19.0, -21.8
8, 19.0, -21.8
9, 19.0, -21.8
10, 19.0, -21.8
11, 19.0, -21.8
12, 19.0, -21.8
13, 18.9, -21.8
14, 18.9, -21.8
15, 18.9, -21.8
16, 18.9, -21.8
17, 18.9, -21.9
18, 18.9, -21.9
19, 18.9, -21.9
20, 18.9, -21.9
21, 18.9, -21.9
22, 18.9, -21.9
23, 18.9, -21.9
24, 18.9, -21.9
25, 18.9, -21.9
26, 18.9, -21.9
27, 18.9, -21.9
28, 18.9, -21.9
29, 18.9, -21.9
30, 18.9, -21.9
31, 18.9, -21.9
32, 18.9, -21.9
33, 18.9, -21.9
34, 18.9, -21.9
35, 18.9, -21.9
36, 18.9, -21.9
37, 18.9, -21.9
38, 18.9, -21.9
39, 18.9, -22.0
40, 18.9, -22.0
41, 18.8, -22.0
42, 18.8, -22.0
43, 18.8, -21.9
44, 18.8, -21.9
45, 18.8, -21.9
46, 18.8, -21.9
47, 18.8, -21.9
48, 18.8, -21.9
49, 18.8, -21.9
50, 18.9, -21.9
51, 19.0, -21.9
52, 19.1, -21.9
53, 19.1, -21.9
54, 19.1, -21.9
55, 19.1, -21.9
56, 19.1, -21.9
57, 19.1, -21.9
58, 19.1, -21.9
59, 19.1, -21.8
60, 19.1, -21.8
61, 19.1, -21.8
62, 19.1, -21.8
63, 19.1, -21.8
64, 19.1, -21.8
65, 19.1, -21.8
66, 19.1, -21.8
67, 19.1, -21.8
68, 19.1, -21.8
69, 19.1, -21.8
70, 19.1, -21.8
71, 19.1, -21.8
72, 19.1, -21.8
73, 19.1, -21.8
74, 19.1, -21.9
75, 19.1, -21.8
76, 19.1, -21.8
77, 19.1, -21.8
78, 19.1, -21.8
79, 19.1, -21.8
80, 19.1, -21.8
81, 19.1, -21.8
82, 19.1, -21.8
83, 19.1, -21.8
84, 19.1, -21.8
85, 19.1, -21.8
86, 19.1, -21.8
87, 19.1, -21.8
88, 19.1, -21.9
89, 19.0, -21.9
90, 19.0, -21.9
91, 19.0, -21.9
92, 19.0, -21.9
93, 19.0, -21.9
94, 19.0, -21.9
95, 19.0, -21.9
96, 19.0, -21.9
97, 19.0, -21.9
98, 19.0, -21.9
99, 19.0, -21.9
100, 19.0, -21.9
101, 19.0, -21.9
102, 19.0, -21.9
103, 19.0, -21.9
104, 19.0, -21.9
105, 19.0, -21.9
106, 19.0, -21.9
107, 19.0, -21.9
108, 19.0, -21.9
109, 19.0, -21.9
110, 19.0, -21.9
111, 19.0, -21.9
112, 19.0, -21.9
113, 19.0, -21.9
114, 19.0, -21.9
115, 19.0, -21.9
116, 19.0, -21.9
117, 19.0, -21.9
118, 19.0, -21.9
119, 19.0, -21.9
120, 19.0, -21.9
121, 19.0, -21.9
122, 19.0, -21.9
123, 19.0, -21.9
124, 19.0, -22.0
125, 19.0, -22.0
126, 19.0, -22.0
127, 19.0, -22.0
