,Left_Z[N],Right_Z[N]
266, 17.1, -22.4
267, 17.1, -22.4
268, 17.1, -22.4
269, 17.1, -22.4
270, 17.1, -22.4
271, 17.1, -22.4
272, 17.1, -22.4
273, 17.1, -22.4
274, 17.1, -22.4
275, 17.1, -22.4
276, 17.1, -22.4
277, 17.1, -22.4
278, 17.1, -22.4
279, 17.1, -22.4
280, 17.1, -22.4
281, 17.1, -22.4
282, 17.1, -22.4
283, 17.1, -22.4
284, 17.1, -22.4
285, 17.1, -22.4
286, 17.1, -22.4
287, 17.1, -22.4
288, 17.1, -22.4
289, 17.1, -22.4
290, 17.1, -22.4
291, 17.1, -22.4
292, 17.1, -22.4
293, 17.1, -22.4
294, 17.2, -22.4
295, 17.2, -22.4
296, 17.2, -22.5
297, 17.2, -22.5
298, 17.2, -22.5
299, 17.2, -22.5
300, 17.2, -22.5
301, 17.2, -22.5
302, 17.2, -22.5
303, 17.2, -22.5
304, 17.2, -22.5
305, 17.2, -22.5
306, 17.2, -22.5
307, 17.2, -22.5
308, 17.2, -22.5
309, 17.2, -22.5
310, 17.2, -22.5
311, 17.2, -22.5
312, 17.2, -22.5
313, 17.2, -22.5
314, 17.2, -22.5
315, 17.2, -22.5
316, 17.2, -22.5
317, 17.2, -22.5
318, 17.2, -22.5
319, 17.2, -22.5
320, 17.2, -22.5
321, 17.2, -22.5
322, 17.2, -22.5
323, 17.2, -22.5
324, 17.2, -22.5
325, 17.2, -22.4
326, 17.2, -22.4
327, 17.2, -22.4
328, 17.2, -22.4
329, 17.2, -22.5
330, 17.2, -22.5
331, 17.2, -22.5
332, 17.2, -22.5
333, 17.2, -22.5
334, 17.3, -22.5
335, 17.3, -22.5
336, 17.3, -22.5
337, 17.3, -22.5
338, 17.3, -22.5
339, 17.3, -22.5
340, 17.3, -22.5
341, 17.3, -22.5
342, 17.3, -22.5
343, 17.3, -22.5
344, 17.2, -22.5
345, 17.2, -22.6
346, 17.1, -22.6
347, 17.1, -22.6
348, 17.1, -22.6
349, 17.1, -22.6
350, 17.1, -22.6
351, 17.1, -22.6
352, 17.1, -22.6
353, 17.1, -22.6
354, 17.1, -22.6
355, 17.1, -22.6
356, 17.1, -22.6
357, 17.1, -22.6
358, 17.1, -22.5
359, 17.1, -22.5
360, 17.1, -22.5
361, 17.1, -22.5
362, 17.1, -22.5
363, 17.1, -22.4
364, 17.1, -22.4
365, 17.1, -22.3
366, 17.1, -22.3
367, 17.1, -22.3
368, 17.1, -22.3
369, 17.1, -22.3
370, 17.1, -22.3
371, 17.2, -22.3
372, 17.2, -22.3
373, 17.2, -22.3
374, 17.2, -22.3
375, 17.2, -22.4
376, 17.2, -22.4
377, 17.2, -22.4
378, 17.2, -22.4
379, 17.2, -22.4
380, 17.2, -22.4
381, 17.2, -22.4
382, 17.2, -22.4
383, 17.2, -22.4
384, 17.2, -22.3
385, 17.2, -22.3
386, 17.2, -22.3
387, 17.2, -22.3
388, 17.2, -22.3
389, 17.1, -22.3
390, 17.1, -22.3
391, 17.1, -22.3
392, 17.1, -22.3
393, 17.1, -22.3
394, 17.1, -22.3
395, 17.1, -22.3
396, 17.1, -22.3
397, 17.1, -22.3
398, 17.1, -22.3
399, 17.1, -22.4
400, 17.1, -22.4
401, 17.1, -22.4
402, 17.1, -22.4
